Petro,1,0
,1,0
,1,0
trash,1,1000
trash,1,500
trash,1,0
trash,1,1100
BRUH MOMENT,1,0
BRUH MOMENT,2,1800
Hal-9000,170,17622300
lkh,1,0
some guy,4,11600
huam,1,100
huam,1,100
huam,1,100
Hal-9000,8,33400
Hal-9000,116,8324200
j,5,13600
kl,126,9164100
smart,1337,1034635200
atmte,6,28900
adgfadgasdg,5,19700
,1,200
,2,3200
,1,400
s,2,2000
s,6,21700
,1,0
,1,200
asf,1,400
asf,1,200
asf,1,0
as,1,0
,1,800
,1,100
,1,0
adgadgdagdag,4,9300
eg,1,0
eg,1,500
eg,1,0
,1,0
,1,0
,1,0
,1,0
,1,900
,1,700
,1,1300
,1,100
sd,1,1100
sd,2,1600
,1,300
,7,36300
